#{"t_start": 1768816883.760797, "env_id": null}
r,l,t
2191.0,802,14714.280878
1308.0,1448,14717.510754
1002.0,912,14718.177371
2333.0,783,14719.831946
535.0,383,14724.729909
1513.0,573,14724.807029
2700.0,998,14726.956001
2131.0,719,14727.302382
1715.0,604,14732.397679
2903.0,945,15076.441356
2413.0,759,15076.6001
2540.0,902,15078.136553
1900.0,721,15081.270085
1362.0,570,15083.765771
1958.0,681,15085.323909
1891.0,622,15086.061338
1874.0,701,15090.204767
1748.0,642,15094.318734
2455.0,863,15094.832364
1069.0,514,15096.824532
1391.0,553,15412.978005
2736.0,966,15416.877145
4650.0,1704,15417.286101
1767.0,577,15419.039823
1379.0,526,15422.843281
2381.0,711,15426.501554
1679.0,577,15432.575409
3388.0,941,15432.70959
2495.0,2716,15752.473828
4065.0,2059,15753.735966
1359.0,564,15753.858113
1519.0,665,15754.862419
1315.0,485,15761.241835
1705.0,661,15762.121433
2653.0,739,15763.134958
1390.0,543,15767.408255
1389.0,603,15769.978214
1857.0,680,16090.044979
2700.0,834,16094.365672
3991.0,1671,16096.026662
2946.0,994,16101.3571
2337.0,703,16102.371887
2850.0,3170,16104.278912
2230.0,781,16104.899281
1383.0,559,16108.485792
1309.0,537,16426.742526
2423.0,785,16427.028353
1772.0,635,16427.235015
1709.0,648,16430.820792
1482.0,575,16433.798862
2514.0,763,16435.788236
3305.0,945,16437.611102
2189.0,720,16439.131217
1457.0,622,16440.973471
2569.0,810,16446.84452
2929.0,987,16447.075414
2894.0,829,16448.574092
3307.0,924,16766.010253
1350.0,556,16767.688883
1365.0,571,16768.092025
2270.0,758,16771.717815
1462.0,599,16774.507301
1364.0,579,16774.678195
1506.0,606,16778.671253
1562.0,736,16783.168719
2613.0,759,16783.260357
1846.0,665,16786.308497
1470.0,595,17104.393147
1795.0,720,17105.892774
1779.0,627,17107.856684
1756.0,639,17111.646915
2691.0,805,17115.047124
2517.0,808,17117.059686
3499.0,3275,17117.830694
1441.0,573,17121.551787
3205.0,1005,17123.061545
1721.0,660,17124.546618
1301.0,597,17124.60336
1481.0,577,17442.451596
1499.0,585,17445.559263
2052.0,726,17445.670969
2933.0,785,17447.943048
2082.0,767,17451.257384
1915.0,649,17453.135402
1369.0,586,17454.631525
2925.0,1011,17457.134587
2421.0,766,17461.859983
2651.0,996,17462.618592
2163.0,695,17780.382026
3057.0,952,17780.800217
1485.0,595,17783.945885
2199.0,737,17786.352337
1990.0,652,17787.839646
2308.0,733,17789.193673
1888.0,702,17791.984885
535.0,390,17792.284756
2447.0,772,17795.150759
1992.0,657,17796.672556
1740.0,655,17799.755088
3060.0,861,18116.04991
1474.0,596,18116.31725
2130.0,714,18119.216432
1717.0,818,18123.494966
1762.0,652,18123.655921
2293.0,761,18125.052909
1972.0,678,18126.959324
1475.0,627,18130.655249
2341.0,730,18131.992517
2364.0,804,18134.239832
2437.0,773,18135.791017
2128.0,729,18138.962787
2128.0,776,18455.139443
2218.0,719,18456.717067
2348.0,839,18459.656795
1693.0,690,18464.584606
2862.0,898,18465.371277
2463.0,1078,18465.550942
1859.0,679,18467.387415
1676.0,615,18472.57421
1743.0,690,18473.247259
2932.0,856,18474.356122
2450.0,769,18476.168548
1616.0,582,18795.708256
2608.0,779,18796.865414
3401.0,948,18798.119197
2717.0,817,18800.204187
1574.0,660,18803.228395
1768.0,574,18803.389018
1617.0,599,18804.917652
1759.0,616,18807.209058
1793.0,663,18811.031795
1768.0,573,18811.566304
2486.0,765,18812.057424
3598.0,995,19132.587241
2473.0,834,19134.994097
2904.0,1020,19137.602093
1607.0,591,19139.323663
1375.0,563,19141.409105
4553.0,1579,19142.961806
1377.0,564,19144.020671
1931.0,630,19146.503596
1694.0,604,19148.287709
2402.0,782,19151.952275
1845.0,717,19152.288027
1458.0,577,19468.454564
1391.0,544,19469.863225
1399.0,571,19474.077646
1976.0,747,19475.75025
2384.0,663,19475.980281
1744.0,747,19478.372794
2195.0,631,19481.255887
1890.0,618,19485.405713
2413.0,915,19486.172991
3324.0,1013,19487.52688
1383.0,707,19489.29846
1891.0,662,19808.694737
1622.0,594,19809.292175
2925.0,912,19810.793951
2201.0,735,19812.673484
1387.0,613,19815.692412
2029.0,761,19817.958725
2292.0,784,19819.705106
2559.0,808,19821.887264
2114.0,727,19823.987374
2158.0,731,19826.296912
1425.0,644,19827.056075
1893.0,708,20144.329376
1898.0,673,20149.154314
2940.0,944,20149.166317
1883.0,996,20152.088574
2254.0,739,20152.81437
1522.0,739,20157.601258
3153.0,987,20164.074895
1716.0,634,20164.82387
3322.0,1200,20165.783067
1471.0,742,20486.473556
1905.0,729,20488.017141
1908.0,871,20488.691942
2963.0,2883,20496.045637
1637.0,742,20497.212028
2597.0,802,20497.223031
3655.0,1068,20498.707645
1803.0,695,20818.868141
1897.0,884,20820.658451
1461.0,703,20821.254551
2772.0,958,20822.675723
986.0,456,20826.446675
2371.0,810,20828.896127
2145.0,798,20829.75096
1870.0,702,20830.672777
2485.0,797,20835.532957
1395.0,595,20835.677346
1614.0,902,20840.026999
1904.0,861,20840.479339
1400.0,645,21157.77987
2059.0,1097,21162.815853
1738.0,710,21162.904924
1761.0,849,21164.955702
1422.0,654,21165.276578
1720.0,727,21171.130411
1754.0,685,21173.09791
1945.0,901,21173.19892
1507.0,647,21180.747509
1671.0,706,21496.176613
3571.0,1105,21498.767249
1898.0,779,21504.40582
1517.0,686,21506.598021
1524.0,552,21510.727139
2897.0,2958,21513.767817
1611.0,639,21513.904182
1887.0,664,21518.318858
1521.0,630,21860.058401
959.0,468,21862.822314
2485.0,886,21863.080009
2994.0,2786,21867.846871
1885.0,746,21869.613607
1445.0,614,21871.044416
1449.0,709,21871.953822
3187.0,846,21878.472781
1638.0,696,21880.581742
1480.0,665,22228.141968
1453.0,587,22229.243511
1364.0,641,22236.034026
2133.0,759,22238.630692
1844.0,702,22244.730864
1629.0,593,22245.947252
2432.0,3036,22248.656517
1596.0,645,22599.119605
2528.0,3311,22599.870603
2088.0,761,22601.936189
2703.0,888,22606.267826
2141.0,699,22608.805353
2138.0,680,22610.585525
960.0,462,22612.204036
2287.0,775,22618.668159
1899.0,637,22618.693783
1522.0,782,22622.164258
1387.0,606,22972.415082
1540.0,678,22973.37294
1955.0,768,22978.076365
1425.0,593,22980.183979
1460.0,586,22980.980702
1551.0,2897,22982.265039
1989.0,635,22988.798978
1823.0,724,22989.126512
2997.0,932,22993.826267
932.0,447,22994.41254
1542.0,1522,23340.194912
2795.0,798,23342.423491
1913.0,647,23345.355093
1453.0,732,23347.106811
1967.0,659,23354.199339
2679.0,900,23354.438564
2692.0,751,23357.17416
1732.0,637,23362.668651
1541.0,642,23362.967707
424.0,486,23363.630236
1612.0,638,23720.266407
1391.0,695,23721.434563
2279.0,2852,23727.711137
1477.0,685,23729.707691
1849.0,684,23730.817762
1479.0,636,23736.140924
1751.0,664,23739.636553
2129.0,1287,24091.399598
2037.0,834,24091.777158
1604.0,701,24093.409745
2205.0,2852,24095.368419
2563.0,792,24101.305855
1589.0,601,24102.825539
1666.0,830,24103.69895
899.0,472,24107.072582
1966.0,778,24448.063531
893.0,503,24449.058837
2285.0,845,24449.868679
1406.0,755,24458.404888
2410.0,931,24459.654417
2938.0,3136,24466.242793
1455.0,819,24468.375675
2434.0,790,24469.317804
2416.0,1776,24471.660642
1963.0,931,24813.795964
1491.0,878,24815.272797
1956.0,963,24817.286004
2421.0,1249,24823.134392
1977.0,793,24823.545271
1381.0,1079,24828.529177
1728.0,1030,24829.935415
3385.0,1108,25172.920262
2267.0,723,25174.521296
2529.0,1062,25177.358741
1636.0,709,25181.680697
1723.0,1143,25188.535188
2245.0,1023,25189.902578
2046.0,835,25191.856936
2855.0,3128,25532.459824
1989.0,1139,25537.734261
2398.0,1095,25538.529353
1361.0,1095,25540.464849
2919.0,1064,25545.457148
1983.0,651,25545.640398
1864.0,789,25550.233967
1391.0,1001,25550.9523
3507.0,1105,25894.578711
2441.0,1201,25895.93192
2082.0,705,25904.611645
2407.0,1741,25907.014479
2425.0,1440,25912.257059
1422.0,687,25913.033821
1453.0,694,25915.531036
1955.0,1336,26264.384851
1405.0,1603,26266.863872
2334.0,3755,26267.312849
1487.0,1514,26269.074061
324.0,520,26273.708774
979.0,2117,26628.954821
1244.0,3006,26973.538874
1073.0,2864,27335.383566
831.0,2781,27342.825452
937.0,5139,27344.207505
1816.0,5636,27345.648082
841.0,542,27350.857815
1564.0,5506,28084.871375
845.0,5174,28432.819371
1618.0,5217,28439.075129
1617.0,6240,28443.77772
518.0,2786,28820.931297
939.0,5138,29175.257714
826.0,1212,29177.968977
1976.0,5138,29181.929826
515.0,2734,29553.746247
1292.0,7531,29559.257528
1225.0,5147,29924.528442
1814.0,4151,30297.634443
2321.0,7529,30646.039293
1520.0,1010,30652.283675
1599.0,7526,31018.226833
1819.0,5606,31022.071033
1694.0,2928,31396.632735
1277.0,5443,31397.780588
1501.0,5227,31401.375772
1377.0,3111,31743.679307
462.0,435,31744.270231
991.0,589,31749.715561
1071.0,890,31755.729572
892.0,2760,32121.020448
857.0,2793,32127.441282
2646.0,3638,32486.239572
1308.0,5647,32494.223313
878.0,2945,32501.568517
1481.0,608,32850.046168
2192.0,3294,32853.226029
997.0,516,32859.893756
1354.0,2899,33238.604217
1814.0,5437,33239.036788
554.0,393,33584.147956
1311.0,5999,33594.35481
1824.0,833,33594.807575
1361.0,5589,33603.781374
2291.0,970,33606.730958
2609.0,1118,33949.59646
2876.0,2484,33951.908165
1001.0,543,33954.312445
1677.0,694,33958.877008
2457.0,1109,33966.613953
1961.0,2980,34324.561818
2472.0,3124,34336.323017
2208.0,1026,34337.656953
869.0,536,34683.395424
1858.0,867,34689.188573
1852.0,867,34700.291633
1360.0,5678,35062.667063
1680.0,907,35074.634345
2181.0,7254,35075.692767
457.0,431,35423.436663
2231.0,3085,35424.869821
2323.0,997,35437.658166
3788.0,5530,35439.498801
1979.0,3595,35811.645432
1462.0,2886,36159.032776
1232.0,633,36162.103457
1850.0,3138,36164.183187
1941.0,779,36169.064708
1285.0,5390,36172.510984
2431.0,1085,36178.049436
1749.0,793,36179.182981
1036.0,594,36180.068892
1296.0,710,36531.025506
2903.0,1190,36538.091308
1974.0,2895,36541.978564
1861.0,764,36547.87598
1222.0,714,36551.050773
2792.0,1209,36907.989819
1868.0,3411,36916.10392
860.0,672,36916.543614
1493.0,694,37264.499837
1966.0,2901,37265.44526
1341.0,5405,37270.284705
1850.0,847,37276.038273
2778.0,1133,37278.650091
868.0,500,37282.263813
2564.0,3616,37638.937372
2410.0,3049,37646.73346
1730.0,720,37647.921596
1941.0,3085,37993.049427
2166.0,759,37994.890189
2458.0,839,38005.357939
1922.0,706,38351.550106
1546.0,2920,38358.149979
2201.0,879,38362.625948
1280.0,5422,38363.291727
1864.0,3075,38368.827932
2432.0,951,38374.454192
1099.0,557,38718.78161
2623.0,762,38728.298712
2323.0,3322,38737.011413
1741.0,763,38737.840813
2787.0,3099,39081.394538
1935.0,751,39090.861307
1289.0,5343,39441.767399
2026.0,2981,39449.568207
1465.0,651,39450.053897
2381.0,886,39460.724806
1654.0,5337,39815.692235
2393.0,705,39824.613987
2314.0,3065,39825.917816
1301.0,5826,40176.524829
2863.0,1441,40531.769153
1978.0,2960,40536.21312
1875.0,5426,40540.717783
2932.0,3532,40544.704839
2378.0,766,40550.328984
2476.0,2004,104936.784829
2368.0,1433,104955.467064
903.0,728,105317.287654
1386.0,539,105324.350533
557.0,377,105329.087497
1289.0,5322,105336.487761
2277.0,754,105690.371773
1273.0,695,105697.616908
1305.0,5322,105703.373333
1381.0,5852,105704.466779
3139.0,1093,105705.135319
1661.0,711,105712.852422
1532.0,826,106073.046849
2492.0,711,106082.102676
2464.0,713,106091.184972
1564.0,587,106445.534806
2303.0,1105,106459.667026
1305.0,5369,106463.300174
1662.0,569,106809.823703
1660.0,5342,106811.961408
1352.0,5348,106812.566158
797.0,2775,107145.408347
